AI receiver|Receptor con IA
Model connected and receiver-tool support checked.|Modelo conectado y compatibilidad con herramientas del receptor comprobada.
Model did not pass the tool check. Select a different model.|El modelo no superó la comprobación de herramientas. Selecciona otro modelo.
Investigation complete. Review the measured results below.|Investigación completada. Revisa los resultados medidos a continuación.
Investigation reached its five-request limit. Review the collected evidence.|La investigación alcanzó su límite de cinco solicitudes. Revisa las pruebas recopiladas.
AI is reviewing receiver evidence...|La IA está revisando las mediciones del receptor...
Read current receiver measurements.|Se leyeron las mediciones actuales del receptor.
AI reception measurement|Medición de recepción de IA
Measuring this channel locally for 30 seconds.|Midiendo este canal localmente durante 30 segundos.
Running one local gain comparison. Worse results restore the original.|Comparando ajustes de ganancia localmente. Si empeoran los resultados, se restaura la ganancia original.
Comparing the selected capture on this phone. Samples are not uploaded.|Comparando la captura seleccionada en este teléfono. No se suben las muestras.
Waiting for local measurements...|Esperando mediciones locales...
A requested tool could not run; the AI received the reason.|Una herramienta solicitada no pudo ejecutarse; la IA recibió el motivo.
Gain comparison finished; its measured result is available.|Comparación de ganancia terminada; el resultado medido está disponible.
Local capture comparisons finished.|Comparaciones locales de captura terminadas.
AI run stopped. Radio reception continues.|Ejecución de IA detenida. La recepción de radio continúa.
Capture %1|Captura %1
Gain scores: original %1 · trial %2 · changed gain kept: %3|Puntuación de ganancia: original %1 · prueba %2 · cambio conservado: %3
Measured control frames: %1 accepted · %2 rejected.|Tramas de control medidas: %1 aceptadas · %2 rechazadas.
Local comparison reports: %1. Open I/Q lab for details.|Informes de comparación local: %1. Abre el laboratorio I/Q para ver los detalles.
Yes|Sí
No|No
